[18-Aug-2016 15:30:33 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:33 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:34 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:34 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:35 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:35 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:36 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:30:36 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:31:29 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:31:29 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:31:31 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:31:31 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:32:29 UTC] PHP Warning:  require_once(/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:32:29 UTC] PHP Fatal error:  require_once(): Failed opening required '/home/ubuntu/workspace/wp-content/plugins/the-register-extension/src/register_now/main.php' (include_path='.:/usr/share/php') in /home/ubuntu/workspace/wp-content/plugins/the-register-extension/register_now.php on line 38
[18-Aug-2016 15:33:37 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 15:34:12 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 15:34:19 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 15:34:23 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 15:34:36 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 15:34:40 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 15:34:42 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 15:36:04 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
[18-Aug-2016 15:36:10 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, class 'Tribe__Supports' not found in /home/ubuntu/workspace/wp-includes/plugin.php on line 524
